name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;436;0;482;3091;985;3091;962;0
header;128;98;128;138;1766;138;1766;98
A;940;165;940;192;961;192;961;165
D;901;676;901;695;917;695;917;676
C;536;722;536;740;552;740;552;722
D;756;724;756;742;772;742;772;724
A;905;824;905;828;915;828;915;824
B;931;834;931;862;955;862;955;834
B;706;1139;706;1155;715;1155;715;1139
A;907;1236;907;1240;913;1240;913;1236
A;936;1241;936;1241;936;1241;936;1241
C;928;1499;928;1526;948;1526;948;1499
B;659;1872;659;1890;672;1890;672;1872
A;847;2022;847;2034;855;2034;855;2022
D;927;2168;927;2195;948;2195;948;2168
A;727;2221;727;2223;729;2223;729;2221
