name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;236;0;421;3081;1477;3081;1500;0
header;189;137;189;178;1824;178;1824;137
A;986;200;986;227;1006;227;1006;200
B;497;479;497;498;510;498;510;479
A;401;665;401;684;415;684;415;665
A;648;740;648;740;648;740;648;740
B;996;867;996;895;1017;895;1017;867
B;1315;1361;1315;1387;1328;1387;1328;1361
C;996;1565;996;1595;1020;1595;1020;1565
A;1077;1568;1077;1568;1078;1568;1078;1568
D;978;2127;978;2140;986;2140;986;2127
A;1419;2129;1419;2137;1426;2137;1426;2129
D;1001;2231;1001;2259;1025;2259;1025;2231
A;1269;2601;1269;2608;1275;2608;1275;2601
A;762;2648;762;2650;763;2650;763;2648
A;1006;2840;1006;2844;1010;2844;1010;2840
A;849;2906;849;2906;849;2906;849;2906
